Location,Name,Frequency,Duplex,Offset,Tone,rToneFreq,cToneFreq,DtcsCode,DtcsPolarity,Mode,TStep,Skip,Comment,URCALL,RPT1CALL,RPT2CALL,DVCODE
1,W2CMA,145.230000,-,0.600000,Tone,114.8,88.5,023,NN,FM,5.00,,Bronx,,,,
2,N2JDW,147.150000,+,0.600000,Tone,136.5,123.0,023,NN,FM,5.00,,"Manhattan, Washington Heights",,,,
3,K2UQT,145.495000,-,0.600000,,88.5,88.5,023,NN,FM,5.00,,Mount Vernon,,,,
4,KC2EHA,147.535000,split,145.535000,Tone,123.0,88.5,023,NN,FM,5.00,,Nanuet,,,,
5,WB2RRA,147.165000,+,0.600000,Tone,114.8,88.5,023,NN,FM,5.00,,Orangetown,,,,
6,NJ2BS,146.835000,-,0.600000,Tone,151.4,88.5,023,NN,FM,5.00,,Pearl River,,,,
7,N2ACF,146.460000,split,147.460000,Tone,77.0,88.5,023,NN,FM,5.00,,Pomona,,,,
8,W2YRC,146.865000,-,0.600000,Tone,110.9,110.9,023,NN,FM,5.00,,Yonkers,,,,
9,K2JQB,146.910000,-,0.600000,Tone,114.8,88.5,023,NN,FM,5.00,,Yonkers,,,,
10,W2AKR,146.790000,-,0.600000,Tone,141.3,141.3,023,NN,FM,5.00,,Paramus,,,,
11,K2FJ,146.955000,-,0.600000,Tone,141.3,141.3,023,NN,Auto,5.00,,Alpine,,,,
12,W2DGL,146.445000,split,147.445000,,88.5,88.5,023,NN,DV,5.00,,Cedar Grove,CQCQCQ,,,0
13,W2JT,147.180000,+,0.600000,Tone,156.7,156.7,023,NN,FM,5.00,,North Caldwell,,,,
14,W2TW,147.030000,+,0.600000,Tone,151.4,151.4,023,NN,FM,5.00,,"Boonton, Sheep Hill",,,,
15,WB2FTX,147.135000,+,0.600000,Tone,141.3,88.5,023,NN,FM,5.00,,Butler,,,,
16,KD2KWT,145.210000,-,0.600000,Tone,79.7,79.7,023,NN,FM,5.00,,"Wayne, St. Josephs Hospital",,,,
17,WA2SNA,146.490000,split,147.490000,Tone,107.2,88.5,023,NN,FM,5.00,,Wanaque,,,,
18,W2PQG,146.700000,-,0.600000,Tone,141.3,141.3,023,NN,FM,5.00,,Wanaque,,,,
19,W2KBF,145.680000,,145.680000,,88.5,88.5,023,NN,DV,5.00,,Fair Lawn,CQCQCQ,,,0
20,K9GOD,145.670000,,145.670000,,88.5,88.5,023,NN,DV,5.00,,Tuxedo Park,CQCQCQ,,,0
21,K9GTM,145.420000,,145.420000,,88.5,88.5,023,NN,DV,5.00,,Bergenfield,CQCQCQ,,,0
22,W2NPT,145.470000,-,0.600000,Tone,167.9,88.5,023,NN,DIG,5.00,,Fair Lawn,,,,
23,N2ACF,145.170000,-,0.600000,Tone,114.8,88.5,023,NN,FM,5.00,,Pomona,,,,
24,N2IXA,147.630000,-,0.600000,Tone,107.2,88.5,023,NN,FM,5.00,,"Warwick, Mt Peter",,,,
25,K2MCI,145.550000,-,0.600000,,88.5,88.5,023,NN,DV,5.00,,"Harrington Park, Oradell Reservoir",CQCQCQ,,,0
