Location,Name,Frequency,Duplex,Offset,Tone,rToneFreq,cToneFreq,DtcsCode,DtcsPolarity,Mode,TStep,Skip,Comment,URCALL,RPT1CALL,RPT2CALL,DVCODE
0,EV-SIM,146.520000,,0.000000,,88.5,88.5,023,NN,FM,5.00,,,,,,
1,76ERS,146.760000,-,0.600000,,88.5,88.5,023,NN,FM,5.00,,,,,,
2,UARC,146.620000,-,0.600000,,88.5,88.5,023,NN,FM,5.00,,,,,,
3,UVARC,146.780000,-,0.600000,Tone,100.0,88.5,023,NN,FM,5.00,,,,,,
4,AREA,146.580000,,0.000000,,88.5,88.5,023,NN,FM,5.00,,,,,,
5,CITY,146.560000,,0.000000,,88.5,88.5,023,NN,FM,5.00,,,,,,
6,SLCARE,146.700000,-,0.600000,Tone,100.0,88.5,023,NN,FM,5.00,,,,,,
7,S-ERC,147.520000,,0.000000,,88.5,88.5,023,NN,FM,5.00,,,,,,
8,IMIT,147.120000,+,0.600000,Tone,100.0,88.5,023,NN,FM,5.00,,,,,,
9,IMIT2,147.180000,+,0.600000,Tone,100.0,88.5,023,NN,FM,5.00,,,,,,
10,SINBAD,147.080000,+,0.600000,Tone,77.0,88.5,023,NN,FM,5.00,,,,,,
11,UVARC1,448.200000,-,5.000000,Tone,100.0,88.5,023,NN,FM,5.00,,,,,,
12,WESTRF,449.425000,-,5.000000,Tone,100.0,88.5,023,NN,FM,5.00,,,,,,
13,HERMAN,449.250000,-,5.000000,Tone,118.8,88.5,023,NN,FM,5.00,,,,,,
14,SUNCRS,447.100000,-,5.000000,Tone,100.0,88.5,023,NN,FM,5.00,,,,,,
15,EU-SIM,446.000000,,0.000000,,88.5,88.5,023,NN,FM,5.00,,,,,,
16,MURS4,154.570000,,0.000000,,88.5,88.5,023,NN,FM,5.00,,,,,,
17,MURS5,154.600000,,0.000000,,88.5,88.5,023,NN,FM,5.00,,,,,,
18,FRS18,462.625000,,0.000000,,88.5,88.5,023,NN,FM,5.00,,,,,,
19,FRS19,462.650000,,0.000000,,88.5,88.5,023,NN,FM,5.00,,,,,,
20,FRS20,462.675000,,0.000000,,88.5,88.5,023,NN,FM,5.00,,,,,,
21,WX1,162.550000,,0.000000,,88.5,88.5,023,NN,FM,5.00,,,,,,
22,FARNS,146.940000,-,0.600000,Tone,88.5,88.5,023,NN,FM,5.00,,,,,,
23,FRARY,147.040000,+,0.600000,Tone,123.0,88.5,023,NN,FM,5.00,,,,,,
24,ENSIGN,147.160000,+,0.600000,Tone,127.3,88.5,023,NN,FM,5.00,,,,,,
25,MARTY,147.140000,+,0.600000,Tone,127.3,88.5,023,NN,FM,5.00,,,,,,
26,BUTTER,145.450000,-,0.600000,Tone,100.0,88.5,023,NN,FM,5.00,,,,,,
27,STWIDE,155.505000,,0.000000,,88.5,88.5,023,NN,FM,5.00,,,,,,
28,UTPS,153.950000,,0.000000,,88.5,88.5,023,NN,FM,5.00,,,,,,
29,UCARES,147.340000,+,0.600000,Tone,100.0,88.5,023,NN,FM,5.00,,,,,,
30,UCAREZ,147.280000,+,0.600000,Tone,141.3,88.5,023,NN,FM,5.00,,,,,,
31,L-ERC,147.020000,+,0.600000,Tone,100.0,88.5,023,NN,FM,5.00,,,,,,
32,SUND,145.250000,-,0.600000,Tone,100.0,88.5,023,NN,FM,5.00,,,,,,
33,AFCYN,448.225000,-,5.000000,Tone,100.0,88.5,023,NN,FM,5.00,,,,,,
34,TERT,145.630000,,0.000000,,88.5,88.5,023,NN,FM,5.00,,,,,,
35,UC-SIM,147.340000,,0.000000,,88.5,88.5,023,NN,FM,5.00,,,,,,
36,ERCSIM,147.020000,,0.000000,,88.5,88.5,023,NN,FM,5.00,,,,,,
37,EAGLE,145.230000,-,0.600000,Tone,131.8,88.5,023,NN,FM,5.00,,,,,,
38,LEHI,448.875000,-,5.000000,Tone,100.0,88.5,023,NN,FM,5.00,,,,,,
39,IRIDGE,448.400000,-,5.000000,,88.5,88.5,023,NN,FM,5.00,,,,,,
40,FLAT,145.490000,-,0.600000,Tone,136.5,88.5,023,NN,FM,5.00,,,,,,
41,GRIZZ,147.040000,+,0.600000,Tone,136.5,88.5,023,NN,FM,5.00,,,,,,
42,BRUIN,147.320000,+,0.600000,Tone,88.5,88.5,023,NN,FM,5.00,,,,,,
43,VERNAL,449.050000,-,5.000000,Tone,88.5,88.5,023,NN,FM,5.00,,,,,,
44,MONROE,146.860000,-,0.600000,Tone,100.0,88.5,023,NN,FM,5.00,,,,,,
45,ELLEN,147.080000,+,0.600000,Tone,136.5,88.5,023,NN,FM,5.00,,,,,,
46,BARTON,448.275000,-,5.000000,Tone,107.2,88.5,023,NN,FM,5.00,,,,,,
47,SKYLIN,146.660000,-,0.600000,Tone,100.0,88.5,023,NN,FM,5.00,,,,,,
48,BEEST,147.100000,+,0.600000,Tone,100.0,88.5,023,NN,FM,5.00,,,,,,
49,FORD,145.310000,-,0.600000,Tone,88.5,88.5,023,NN,FM,5.00,,,,,,
50,HORN,147.060000,+,0.600000,Tone,88.5,88.5,023,NN,FM,5.00,,,,,,
51,BOARD,147.080000,+,0.600000,Tone,88.5,88.5,023,NN,FM,5.00,,,,,,
52,CEDAR,147.140000,+,0.600000,Tone,88.5,88.5,023,NN,FM,5.00,,,,,,
53,WOOD,147.200000,+,0.600000,Tone,88.5,88.5,023,NN,FM,5.00,,,,,,
54,EMERY,447.700000,-,5.000000,Tone,123.0,88.5,023,NN,FM,5.00,,,,,,
55,CASTLE,448.550000,-,5.000000,Tone,88.5,88.5,023,NN,FM,5.00,,,,,,
56,MOAB,146.760000,-,0.600000,Tone,88.5,88.5,023,NN,FM,5.00,,,,,,
57,MTOWN,146.900000,-,0.600000,Tone,88.5,88.5,023,NN,FM,5.00,,,,,,
58,ABAJO,146.610000,-,0.600000,Tone,88.5,88.5,023,NN,FM,5.00,,,,,,
59,SPNCER,146.720000,-,0.600000,Tone,100.0,88.5,023,NN,FM,5.00,,,,,,
60,RICHF,146.640000,-,0.600000,Tone,100.0,88.5,023,NN,FM,5.00,,,,,,
61,INDIAN,146.720000,-,0.600000,Tone,100.0,88.5,023,NN,FM,5.00,,,,,,
62,BLOWH,146.800000,-,0.600000,Tone,100.0,88.5,023,NN,FM,5.00,,,,,,
63,UTHILL,146.820000,-,0.600000,Tone,100.0,88.5,023,NN,FM,5.00,,,,,,
64,FRISCO,146.940000,-,0.600000,Tone,100.0,88.5,023,NN,FM,5.00,,,,,,
65,NAVAJO,146.960000,-,0.600000,Tone,100.0,88.5,023,NN,FM,5.00,,,,,,
66,JACOB,147.300000,+,0.600000,Tone,100.0,88.5,023,NN,FM,5.00,,,,,,
67,BULLFG,448.600000,-,5.000000,Tone,100.0,88.5,023,NN,FM,5.00,,,,,,
68,COVE,146.840000,-,0.600000,Tone,100.0,88.5,023,NN,FM,5.00,,,,,,
69,LEVAN,145.270000,-,0.600000,Tone,103.5,88.5,023,NN,FM,5.00,,,,,,
70,EVANS,146.860000,-,0.600000,Tone,100.0,88.5,023,NN,FM,5.00,,,,,,
71,BEAR,147.020000,+,0.600000,Tone,100.0,88.5,023,NN,FM,5.00,,,,,,
72,SCOTT,145.270000,-,0.600000,Tone,100.0,88.5,023,NN,FM,5.00,,,,,,
73,WILSON,147.200000,+,0.600000,Tone,88.5,88.5,023,NN,FM,5.00,,,,,,
74,MANTI,145.290000,-,0.600000,Tone,131.8,88.5,023,NN,FM,5.00,,,,,,
75,NEPHI,447.450000,-,5.000000,Tone,114.8,88.5,023,NN,FM,5.00,,,,,,
76,SALINA,447.150000,-,5.000000,,88.5,88.5,023,NN,FM,5.00,,,,,,
77,STERL,449.250000,-,5.000000,Tone,131.8,88.5,023,NN,FM,5.00,,,,,,
78,HOLDEN,449.300000,-,5.000000,Tone,88.5,88.5,023,NN,FM,5.00,,,,,,
79,DUCHES,145.175000,-,0.600000,,88.5,88.5,023,NN,FM,5.00,,,,,,
80,HMTN,447.625000,-,5.000000,Tone,100.0,88.5,023,NN,FM,5.00,,,,,,
81,BALD,449.100000,-,5.000000,Tone,107.2,88.5,023,NN,FM,5.00,,,,,,
82,MONTI,447.100000,-,5.000000,Tone,107.2,88.5,023,NN,FM,5.00,,,,,,
83,PAGE,448.750000,-,5.000000,Tone,100.0,88.5,023,NN,FM,5.00,,,,,,
84,SJUAN,449.925000,-,5.000000,Tone,100.0,88.5,023,NN,FM,5.00,,,,,,
85,UTWASH,145.490000,-,0.600000,Tone,100.0,88.5,023,NN,FM,5.00,,,,,,
86,KANAB,146.880000,-,0.600000,,88.5,88.5,023,NN,FM,5.00,,,,,,
87,BRIGHM,145.290000,-,0.600000,Tone,123.0,88.5,023,NN,FM,5.00,,,,,,
88,RSPUR,145.310000,-,0.600000,Tone,103.5,88.5,023,NN,FM,5.00,,,,,,
89,LOGAN,145.410000,-,0.600000,Tone,103.5,88.5,023,NN,FM,5.00,,,,,,
90,BLUES,145.430000,-,0.600000,Tone,123.0,88.5,023,NN,FM,5.00,,,,,,
91,PMTN,145.470000,-,0.600000,Tone,123.0,88.5,023,NN,FM,5.00,,,,,,
92,PROM,145.490000,-,0.600000,Tone,123.0,88.5,023,NN,FM,5.00,,,,,,
93,HERD,146.680000,-,0.600000,Tone,123.0,88.5,023,NN,FM,5.00,,,,,,
94,MTLOG,146.720000,-,0.600000,Tone,103.5,88.5,023,NN,FM,5.00,,,,,,
95,SEDGW,146.800000,-,0.600000,Tone,88.5,88.5,023,NN,FM,5.00,,,,,,
96,LITTLE,146.820000,-,0.600000,Tone,123.0,88.5,023,NN,FM,5.00,,,,,,
97,CORIN,146.920000,-,0.600000,Tone,123.0,88.5,023,NN,FM,5.00,,,,,,
98,MONTP,147.120000,+,0.600000,Tone,123.0,88.5,023,NN,FM,5.00,,,,,,
99,CLARK,147.200000,+,0.600000,Tone,103.5,88.5,023,NN,FM,5.00,,,,,,
100,FIELDG,147.220000,+,0.600000,Tone,123.0,88.5,023,NN,FM,5.00,,,,,,
101,PROMT,147.260000,+,0.600000,Tone,103.5,88.5,023,NN,FM,5.00,,,,,,
102,WESTO,147.380000,+,0.600000,,88.5,88.5,023,NN,FM,5.00,,,,,,
103,RIVERS,449.575000,-,5.000000,,88.5,88.5,023,NN,FM,5.00,,,,,,
104,KAYSP,449.600000,-,5.000000,Tone,136.5,88.5,023,NN,FM,5.00,,,,,,
105,CACHE,449.625000,-,5.000000,Tone,103.5,88.5,023,NN,FM,5.00,,,,,,
106,HAVEN,449.775000,-,5.000000,Tone,123.0,88.5,023,NN,FM,5.00,,,,,,
107,CROOK,145.390000,-,0.600000,Tone,100.0,88.5,023,NN,FM,5.00,,,,,,
108,BLACK,146.980000,,0.000000,,88.5,88.5,023,NN,FM,5.00,,,,,,
109,WEND,147.200000,+,0.600000,Tone,100.0,88.5,023,NN,FM,5.00,,,,,,
110,SMTN,147.300000,+,0.600000,Tone,100.0,88.5,023,NN,FM,5.00,,,,,,
111,NOTCH,147.380000,+,0.600000,Tone,203.5,88.5,023,NN,FM,5.00,,,,,,
112,WPEAK,449.550000,-,5.000000,Tone,123.0,88.5,023,NN,FM,5.00,,,,,,
