Location,Name,Frequency,Duplex,Offset,Tone,rToneFreq,cToneFreq,DtcsCode,DtcsPolarity,Mode,TStep,Skip,Comment,URCALL,RPT1CALL,RPT2CALL
21,S10,145.250000,,0.000000,,88.5,88.5,023,NN,FM,5.00,S,,,,,
22,S11,145.275000,,0.000000,,88.5,88.5,023,NN,FM,5.00,S,,,,,
23,S12,145.300000,,0.000000,,88.5,88.5,023,NN,FM,5.00,S,,,,,
24,S13,145.325000,,0.000000,,88.5,88.5,023,NN,FM,5.00,S,,,,,
25,S14,145.350000,,0.000000,,88.5,88.5,023,NN,FM,5.00,S,,,,,
26,S15,145.375000,,0.000000,,88.5,88.5,023,NN,FM,5.00,S,,,,,
27,S16,145.400000,,0.000000,,88.5,88.5,023,NN,FM,5.00,S,,,,,
28,S17,145.425000,,0.000000,,88.5,88.5,023,NN,FM,5.00,S,,,,,
29,S18,145.450000,,0.000000,,88.5,88.5,023,NN,FM,5.00,S,,,,,
30,S19,145.475000,,0.000000,,88.5,88.5,023,NN,FM,5.00,S,,,,,
31,S20,145.500000,,0.000000,,88.5,88.5,023,NN,FM,5.00,,,,,,
32,S21,145.525000,,0.000000,,88.5,88.5,023,NN,FM,5.00,,,,,,
33,S22,145.550000,,0.000000,,88.5,88.5,023,NN,FM,5.00,S,,,,,
34,S23,145.575000,,0.000000,,88.5,88.5,023,NN,FM,5.00,S,,,,,
35,PACKET,144.800000,,0.000000,,88.5,88.5,023,NN,FM,5.00,,,,,,
36,1SS,145.800000,-,0.600000,,88.5,88.5,023,NN,FM,5.00,,,,,,
41,R0,145.600000,-,0.600000,,123.0,88.5,023,NN,FM,5.00,,,,,,
42,R0X,145.612500,-,0.600000,,123.0,88.5,023,NN,FM,5.00,S,,,,,
43,R1,145.625000,-,0.600000,,123.0,88.5,023,NN,FM,5.00,S,,,,,
44,R1X,145.637500,-,0.600000,,123.0,88.5,023,NN,FM,5.00,S,,,,,
45,R2,145.650000,-,0.600000,,123.0,88.5,023,NN,FM,5.00,S,,,,,
46,R2X,145.662500,-,0.600000,,123.0,88.5,023,NN,FM,5.00,,,,,,
47,R3,145.675000,-,0.600000,,123.0,88.5,023,NN,FM,5.00,S,,,,,
48,R3X,145.687500,-,0.600000,,123.0,88.5,023,NN,FM,6.25,,,,,,
49,R4,145.700000,-,0.600000,,123.0,88.5,023,NN,FM,5.00,S,,,,,
50,R4X,145.712500,-,0.600000,,123.0,88.5,023,NN,FM,5.00,S,,,,,
