"Frequency Output","Frequency Input","FCC Callsign","Agency/Category","Description","Alpha Tag","PL Tone","Mode","Class Station Code","Tag"
"145.45","144.85","W2MPX","Severe Weather","Metroplex Amateur Radio Club BC SkyWarn Alt","MARC/SKYALT","100.0 PL","FM","RM","Ham"
"146.535","0","","Emergency","Bergen County RACES Simplex","BCRACES","CSQ","FM","BM","Ham"
"146.7","146.1","W2PQG","Severe Weather","BergenPassaic Skywarn","RACES/Skywrn","141.3 PL","FM","RM","Ham"
"146.79","146.19","K2GCL","Emergency","Bergen County FM AssocBergen County RACES","BCFMA Fr Lake","CSQ","FM","RM","Ham"
"146.79","146.19","W2AKR","Emergency","Bergen County FM AssocBergen County RACES","BCFMA Paramus","CSQ","FM","RM","Ham"
"150.775","0","","North Arlington ","Emergency SquadEMS","EMS 7","110.9 PL","FMN","M","EMS-Talk"
"150.7825","0","WPQY222","Waldwick ","Waldwick Fire Tactical Shared with Wyckoff","Waldwick FD","210.7 PL","FMN","BM","Fire-Tac"
"150.7825","0","WPQY222","Wyckoff ","Fireground Operations","Fire Ops FG","210.7 PL","FMN","M","Fire-Tac"
"151.0025","155.925","WPOX461","Englewood ","Fire Dispatch","Englw FD 1","146.2 PL","FMN","RM","Fire Dispatch"
"151.025","0","WQCZ388","Lyndhurst ","Parks Department","Parks","103.5 PL","FMN","BM","Public Works"
"151.0325","154.0625","WPRW378","HoHoKus","Police Dispatch","Police Dispatch","244 NAC","P25","RM","Law Dispatch"
"151.055","0","WPGA466","Closter ","Police Ch 3  Fire Ch 10","Police 3","465 DPL","FMN","BM","Multi-Tac"
"151.055","0","WPGA466","Harrington Park ","Police 10","PD 10","465 DPL","FM","BM","Law Tac"
"151.055","0","WPGA466","Northvale ","Police 10","10","465 DPL","FM","BM","Law Tac"
"151.055","0","WPGA466","Norwood ","Police Ch 10","Police 10","94.8 PL","FMN","BM","Law Tac"
"151.0775","155.205","WPZS280","Saddle River ","FireEMS Dispatch","FD/EMS Disp","123.0 PL","FMN","RM","Fire Dispatch"
"151.0775","155.205","WPZS280","Upper Saddle River ","Fire  EMS Dispatch","USR FD/EMS","123.0 PL","FMN","RM","Fire Dispatch"
"151.085","0","KEI431","Fort Lee","Public Works","DPW","127.3 PL","FM","BM","Public Works"
"151.0925","159.0225","KED704","Washington Township","Police","PD Disp","023 DPL","FMN","RM","Law Dispatch"
"151.115","0","WPNX660","Alpine ","Fire Closter Interboro Operations","Fire 5","151.4 PL","FMN","BM","Fire-Talk"
"151.115","0","WPNX660","Closter ","Fire Ch 1","Fire 1","151.4 PL","FMN","BM","Fire-Talk"
"151.115","0","WQBJ762","Demarest","Fire 1 Operations","Fire 1  ","151.4 PL","FMN","BM","Fire-Talk"
"151.115","0","WPNX660","Harrington Park ","Fire","1","151.4 PL","FM","BM","Fire-Talk"
"151.115","0","","Haworth ","Fire Ch 1 Fireground 1 Primary","Haworth FD 1","151.4 PL","FM","M","Fire-Tac"
"151.115","158.88","","Northern Valley Interboro Fire","Fire Response","NV FD RSP","151.4 PL","FMN","RM","Fire-Talk"
"151.115","0","WPNX660","Northvale ","Fire","1","151.4 PL","FM","BM","Fire-Talk"
"151.115","158.88","WPNX660","Norwood ","Fire 1","Fire 1","151.4 PL","FM","RM","Fire-Tac"
"151.13","0","WPNX660","Closter ","Police Ch 2 ","Police 2","71.9 PL","FMN","BM","Law Tac"
"151.13","0","WPNX660","Harrington Park ","Fire","3","203.5 PL","FM","BM","Fire-Talk"
"151.13","0","","Haworth ","Fire Ch 3 ","Haworth FD 3","203.5 PL","FM","M","Fire-Tac"
"151.13","0","WPNX660","Northvale ","Fire","3","203.5 PL","FM","BM","Fire-Talk"
"151.1525","159.2775","WPVX260","Edgewater ","Police Dispatch","PD 1 Disp","296 NAC","P25","RM","Law Dispatch"
"151.1525","159.2775","WPYL539","River Edge ","River Edge  Police 1  EMS Operations","RE PD1/EMS2","146.2 PL","FMN","RM","Law Dispatch"
"151.25","159.42","KEB913","Hasbrouck Heights ","Police 1","Police 1","162.2 PL","FMN","RM","Law Dispatch"
"151.2575","0","WPYD235","Bogota ","FD Fire Ground","Bogota FD2","94.8 PL","FMN","M","Fire-Tac"
"151.265","159.255","WPYD235","Bogota ","Fire Dispatch","Bogota FD1","94.8 PL","FMN","RM","Fire Dispatch"
"151.34","0","WPKP528","Bergenfield ","Police TalkAround","Police 3Talk","734 DPL","FMN","BM","Law Tac"
"151.3775","0","WQAX325","Oakland ","Fireground 1  Emergency Mgmt","OaklandFD Hi","123.0 PL","FMN","BM","Fire-Tac"
"151.415","159.2625","WQCI461","Edgewater ","Fire Operations","FD Ops","306 NAC","P25","RM","Fire-Tac"
"151.4225","0","KYU903","Hackensack ","Fireground 3","FG 3","532 DPL","FMN","M","Fire-Tac"
"151.49","0","","Westwood ","Police  Ch 2","WWPd2","","FM","","Law Dispatch"
"151.52","0","WPBA642","Teterboro Airport TEB Business Operations","First Aviation 2","Frst Avi 2","88.5 PL","FM","BM","Business"
"151.535","159.5175","WQPI648","Rutherford ","Public Works  Analog","DPW 2","565 DPL","FMN","RM","Public Works"
